Topic,Paragraph
Native American Conflicts,"Prior to European settlement in North America, Native American tribes populated specific areas of the continent. Their cultures, food, traditions, and beliefs were wrapped up in their environment. Plains Indians, for instance, hunted buffalo and used the entire animal for food, clothing, shelter, kitchen goods, and other important materials. Though it is believed that Native Americans engaged in battles between tribes prior to European settlement, the presence of the Europeans helped spawn conflicts and circumstances that would dramatically impact the lives of Native Americans across the continent.  

Throughout the sixteenth and seventeenth centuries, Europeans sailed across the Atlantic Ocean in hopes of settling new land and obtaining resources. North America seemed like a dream: lush forests, plenty of freshwater lakes, the promise of gold (even though it would be a long time before gold was actually found), and new uncharted lands lured European explorers to the continent. They brought along with them crops and new technology. They also brought along diseases that caused the deaths of many Native Americans. The arriving settlers had grown immune to such diseases because those particular diseases had been in Eurasia for over five centuries. Native American tribes had not built up immunity to these infections, including smallpox. Some estimate that during smallpox epidemics in North America, 80 to 90 percent of fatalities were part of the Native American populations.

There were many instances when Native Americans traded in peace with the Europeans. The Native Americans made good use of some of the technology the Europeans brought, like metal tools. The Native Americans often exchanged food or rights to hunting lands. However, wars would break out often due to disputes over deals between the Native Americans and Europeans.

In Jamestown, Virginia, for instance, European settlers found themselves in peaceful times with Native Americans when they were able to make agreements. Though the settlers, who founded Jamestown in 1607, had to depend on the Native Americans for some food and resources, they also typically viewed the natives as people who should be conquered. When hard times came for the settlers in 1608 and many of them did not have much food, they pressured the natives into giving them food. These aggressions began a slew of conflicts now collectively called the Anglo-Powhatan Wars, which lasted several decades with thousands of Native Americans either dying or being displaced.   

The consequences of European arrival to North America negatively affected the relationships even between Native American tribes from time to time. Native Americans were suddenly scrambling to share resources with whole new groups of people who had access to powerful weapons, technology to build sturdy buildings, and the ability to call for reinforcements from thousands of miles away. The relationships Native American tribes had built with each other became tenuous as the mounting pressure coming from European settlers threatened to destroy their ways of life. This sparked many skirmishes between tribes over hunting land that was becoming more and more scarce as Europeans continued to settle further into the West. At this time, land was both currency and livelihood. If tribes were forced off their lands, they needed to either find somewhere else to go, or learn to live with the Europeans who had taken over and assumed power, which proved impossible much of the time. "
An Unlikely Parasite: The Mistletoe,"During the holidays, many people hang mistletoes over doorways. People share kisses under this evergreen plant. It is a popular Christmas tradition. But don’t let the image of a romantic plant used during the happy times of the holidays fool you. In the forests where they’re from, mistletoes can do some real damage. Let’s take a look at how and why.

The mistletoe plant is evergreen. This means it has leaves that remain green throughout the year. It is also poisonous and has white berries and small, yellow flowers. The mistletoe lives on other plants, taking water and nutrients from these plants. For this reason, mistletoes are considered parasites.The white berries of the mistletoes contain seeds. Some birds and mammals like to feed on these berries. When they do, the seeds may attach to the animal eating the berries. The animal may carry the seeds to another part of the tree or shrub. They may also carry the seeds to another plant altogether. The seeds start to grow roots that dig through the bark of the tree or shrub. The roots grow into the tissues of the plant they’ve taken over. That’s how mistletoes take nutrients and water away from the host plants. Mistletoe can be hard to remove once it infects a plant. The best way to fight off a mistletoe infestation is to cut off the infected branch completely. If the mistletoe takes over more parts of the plant, it can start to weaken the plant and make it harder for it to grow.
As mistletoes grow in the trees, they become a thick mix of branches and stems. This big mass is sometimes called a “witch’s broom.” Some animals nest in these witches’ brooms. These animals include chickadees, house wrens, and most Cooper’s hawks."
Short Circuits,"Ladies and gentlemen, boys and girls, consider the amazing shrinking transistor! Watch it contract a million times until it becomes a tiny dot visible only under a powerful microscope!

We all know that technological progress is not an actual magic show. Still, it almost seems like magic the way the transistor, the main component in all modern electronics, has diminished in size since being invented in 1947.

The first transistor, made of gold, plastic, and germanium (a metallic crystal), was about the size of an adult’s fingernail. Today’s transistors, etched on silicon wafers, can’t be seen with the naked eye. The minimum size of a transistor is now 45 nanometers. A nanometer is one-billionth of a meter—roughly the width of three or four atoms.
Computer engineers are trying to make transistors even smaller. How tiny can they go?Every transistor has the same basic properties: It can both conduct and stop the flow of electricity. The word transistor is a combination of two words: transfer and resistor.

All transistors are made from materials called semiconductors. A semiconductor is a cross between a good conductor (such as copper) and a good insulator (such as rubber). It can be made to accept or reject the flow of electrons in a circuit. Germanium, used in the first transistors, is a semiconductor. So is silicon, widely used today.

A transistor’s ability to control the flow of electricity has made possible our entire computerized world. All computers depend on the binary system to convert electric signals into useful information. The binary system has only two numbers: 1 and 0. When a transistor allows electricity to flow through, it registers a 1. When the transistor stops the flow of electrons, it registers a 0. Millions or billions of those 1s and 0s, flashing off and on hundreds of millions of times a second in programmed patterns, enable your computer to do everything it does—from allowing you to play World of Warcraft to letting you type up a school science report.A transistor that is only a few atoms wide is incredibly small. But researchers want to make transistors even smaller and cheaper to produce. Chip-making technology has run into a big problem, however. Transistors smaller than 45 nanometers and etched on silicon chips don’t work very well. They tend to leak electrons, making them less efficient.To get around that problem, scientists are using nanotechnology to look at new materials and new methods to produce transistors. Nanotechnology is the engineering of materials on the atomic level, building new materials from the bottom up by manipulating atoms and molecules.One promising area of nanotechnology is the use of graphene, a carbon fabric that is only one carbon atom thick. Graphene is strong, stable, and can act as a semiconductor. If researchers can find a practical way to etch transistors onto graphene, smaller and immensely faster computer chips can be more cheaply made.

“[The ultimate goal] of electronic engineers is the so-called ballistic transistor,” physicist Andre Geim, a graphene researcher at the University of Manchester, told LiveScience. “It would be very, very fast, ultimately fast, in fact.”

Another promising area of nanotechnology research involves using strands of deoxyribonucleic acid (DNA) to build transistors. DNA is the genetic material that determines the makeup of all living cells. Researchers can now take strands of DNA from bacteria and manipulate them into almost any shape they want. California Institute of Technology researcher Paul Rothemund has helped pioneer that technique. He has twisted DNA strands into smiley faces and maps of North and South America. Rothemund coined the phrase DNA origami, after the Japanese art of paper folding.

Rothemund and others are looking to shape DNA strands into a kind of scaffolding that could be attached to silicon wafers to make transistors. Because DNA does not conduct electricity, scientists are experimenting with ways to combine DNA with atoms of conducting materials, such as gold, to build transistors. DNA replicates (copies) itself. So if researchers can produce a DNA transistor, all they have to do is add the right “soup” of chemicals, and the DNA would reproduce itself, making millions of new nano-sized transistors at little or no cost.Making transistors much smaller and much more cheaply could transform our lives. Tiny, smart nanomachines could do any number of things quickly and invisibly. Their greatest use might be in medicine. Swallowed in a pill or injected, tiny, computerized “nanobots” might be able to repair damaged cells one at a time, restoring health invisibly and painlessly before destroying themselves.

The nanobots might repair pipes, bridges, airplane engines, and electrical equipment too. They might even help with housework. Kris Pister, a University of California physicist, envisions what he calls smart dust—nanobots that move around the house at night, eating dirt and generally cleaning up.
Such things are possible in your lifetime—all because scientists are now “thinking small.”"
Political Parties,"Do you know what a political party is? It has nothing to do with birthdays. A political party is a group of people who have similar ideas about what the government should do. They work together to elect people of their party into government office.

The United States has two big political parties. One is the Democratic Party. The other is the Republican Party. Many other, smaller parties also exist.

Political parties in the United States nominate, or choose, the people they want to elect. Once those people are chosen, party members work to win votes for their candidates. Party members want their candidates to be the ones making laws and the ones carrying out those laws.

The Democratic Party is the United States’ oldest political party. It began nearly two hundred years ago. Democrats who became president include Bill Clinton and Barack Obama.

The Republican Party began in the 1850s. It was nicknamed the “Grand Old Party,” or GOP. Republican presidents have included Donald Trump, George W. Bush, and his father, George H.W. Bush.Many Americans are members of a political party. No one has to be a member of any party to vote in an election, however. In the end, the voters decide which candidates get elected."
Happy Trails,"The morning she left for Camp Kanawa, Maria awoke with a lump in her throat and an ache in her stomach. She had gone on plenty of sleepovers. She’d even spent a whole weekend at Aunt Jolie and Uncle Ed’s. So why was she so nervous?

No breakfast today, she thought, imagining the ache turning into nausea and a horrible road trip after a full meal. Then the smell of French toast wafted upstairs. As usual, Maria’s stomach grumbled as soon as the French toast-scented air hit her nostrils. On the other hand, maybe a good breakfast is exactly what I need.

She gave her arms and legs a good stretch and ambled downstairs.

“There’s my big camper!” her mom said, squeezing Maria’s shoulders with one arm the way she did when she wanted to give a hug, but was in too much of a rush for a full embrace. She walked briskly to the stove, placed two pieces of French toast on a plate and tapped a canister above them, powdered sugar snowing down.

“Just like you like it: super fluffy, slightly crispy...”

“…and lightly dusted,” said Maria, already in position, armed with knife, fork, napkin and full glass of milk.

Maria poured a puddle of maple syrup beside the toast and topped each piece with a little mountain of whipped cream.

“Get started while it’s hot. Your father’s coming down in a minute. I told him to shave. Don’t want the grizzly bear—I mean, grizzly beard—to send your new bunkmates running for the woods.”

“Okay, okay,” Maria’s dad said with a sneaky smile. “Clean as a whistle. Just like you ordered.”

“Just like I ordered?”

“The mustache stays. Admit it, you love it.”

Maria’s mom shrugged.

“I think it’s hip,” Maria said, dipping a bite in some syrup.

“Well, your old man is hip,” her dad said, moving his head the way he did when he wanted to look like a cool surfer dude but looked more like an Egyptian robot.“In fact, I was the most popular kid at my camp.”

“For the record, it was science camp,” Maria’s mother reminded her, “and his rise to fame was thanks to what was known as The Great Explosion.”

“Accident or genius? The world may never know,” Maria and her dad said in unison, using their deepest, most mysterious voices. They slowly broke out of character and into laughter.

“In all seriousness, Maria, popularity is not important,” her mother said, looking her straight in the eyes. “Finding the people who like you for you—that’s what matters.”

“Your mom speaks the truth, Sugar,” said Maria’s dad, wiping his thick mustache with a napkin. “Just be yourself. You’ll have a blast.”

*                      *                      *                      *                      *                                             

Just be yourself. Just be yourself. Maria repeated the words like a mantra as she sat with her new cabin mates in a circle on the grass.

“Cool bracelet,” said the skinny, freckled redhead sitting next to her.

“Thanks. I made it in an embroidery class I took this winter.”

“Whoa! That’s impressive. Can you teach me how?”

“If you teach me how to do a braid just like the one in your hair. I’ve mastered the art of French toast eating, but definitely not French braiding.”

A loud whistle hushed the girls’ laughter and buzzing all around them. They looked up to see a beautiful older girl blowing into an acorn top between her thumbs. Her skin was tan and eyes were dark brown, like Maria’s.

“Hello! I’m Audrey, one of your two cabin counselors.”

“And I’m Gina, your other cabin counselor,” said the pale girl with curly, brown hair and eyes that were icy blue in color, yet warm. 

“And you ladies are the Dragonflies!” Audrey lifted her arms in the air as she announced it.“Each cabin here at Camp Kanawa is named after a different insect.”

“The Cockroach boys—age twelve and thirteen like you—think they’ve got the best mascot. I beg to differ. Dragonfly girls are as tough as dragons and graceful as…well, dragonflies.”

“That sounded better when we rehearsed it,” Gina said lightheartedly.

The ache in Maria’s stomach had officially turned into butterflies—the excited kind."
Important People,"The janitor is the person who helps keep the school clean. Every morning students come from all over and walk into the school building. A building can get dirty, especially when a lot of people go into it. The janitor sweeps and mops the floors so that the dirt brought in gets cleaned up.

The teacher is the person who runs the classroom. The teacher helps you learn about different topics and gives you assignments. If you don’t understand something, you can ask the teacher for help.

The principal is the person who is in charge of the whole school. The principal is the leader of the school. The principal is in charge of all the teachers at the school. The principal is the person whom parents call when they want to talk to someone about the school. The principal usually sets high expectations for the students and makes sure that learning is happening in the school.

American schools are in a city or town. The city or town has a leader, too. The leader is usually called the mayor. The mayor is in charge of running the government of the city or town. The mayor works with the people in the city or town and the other people in the government to fix the problems of the city or town. The mayor has a lot of responsibility.

An American city or town is located within a state. Just like a city or town has a leader, a state has a leader, too. The leader of a state is called the governor. An American state is a part of the United States. There are 50 states, and each one has a governor. The person who is the leader of the United States of America is called the president. There have been over forty presidents throughout the course of America’s history. The first president of the United States of America was George Washington. Who is the current president?"
Crossing the Finish Line,"Running a marathon is not easy. It takes hard work, practice, and patience. After all, to run a marathon, you have to run 26.2 miles by foot! Think about it this way: 26.2 miles is the same as running the length of a football field more than 460 times. It takes most people four or five hours to finish. In 2013, the world’s fastest marathon runner finished the race in 2:03:23. Imagine running for over two hours without a break!

By the age of 30, Lea Tambellini had run more than five marathons and had no plans to stop. She had always been an athlete. When she was in high school, she swam on her school’s swim team and ran to stay healthy and active. Her mom and dad ran marathons, and when she was 22, they helped her train for her first marathon.

Lea’s first marathon took place in Cincinnati, Ohio, and was called “The Flying Pig.”

“I was very nervous,” she said, “but I had my mom there, so that helped.”

Running the race was hard, but the hardest part was when she ran past a cookie factory and smelled cookies at mile 18. “I just wanted to be done,” she said. “I was spent, but my mom kept me going. It was already her 15th marathon.”

The word “marathon” comes from a Greek legend. In the legend, a brave soldier ran all the way from the battlefield of Marathon to Athens, Greece to tell everyone the Greeks had won the battle against the Persians. It is said that he ran the entire way without stopping—a distance equal to a modern marathon.

Today, thousands of people run marathons every year. Runners train for months to get ready. To prepare for one of the marathons, Lea ran four to five times every week. On weekdays, she completed shorter runs, five or six miles at most. But on the weekends she ran long distances–13 miles, 15 miles, and 20 miles!

“I don’t mind training because I get excited about working toward something. And I love running with a group of friends and working toward the goal together. But it does take a lot of time.”

Running a marathon is a great achievement. “It’s a great feeling of accomplishment and nothing feels as wonderful as reaching my goal when I cross the finish line,” Lea explained. “I can’t wait for the next one!”"
Focus: What's Inside,"Why is the brain so mighty? It has billions of neurons (nerve cells) to carry out its commands. Without the brain, you would not be able to think, feel, move, remember, or do all the things that make you the special person you are.

At birth, the brains of infants weigh the same. But by adulthood, that changes. The average male brain weighs about 11 to 12 percent more than a woman's brain. But brain weight and size have nothing to do with intelligence. What matters is what's inside the brain.

Despite its small size (about 3 pounds), the brain is able to receive and send an unlimited number of messages. It does this with the help of the spinal cord, the sense organs, and the autonomic (automatic) nervous system. The brain carries out this task by assigning jobs.

It puts the cerebellum (sair-ah-BELL-um) in charge of balance and coordination.
The brainstem regulates heartbeat, breathing, and blood pressure.
And the largest parts of the brain, the cerebral cortex (suh-REE-brul CORE-tex) and the cerebrum (suh-REE-brum), control thoughts, feelings, and actions.
The cerebrum is divided into two halves. Each controls the muscles on the opposite side of the body. So if you usually eat with your right hand and kick with your right foot, then your brain's left half is said to ""dominate,"" and you're right-handed. When the opposite is true, your brain's right half takes the lead and you're left-handed.

People use both halves of the brain, but the left half is especially good at helping you with words and numbers and helping you read and speak. The right side is better at creative tasks, such as music and art. And your sense of humor develops there.

Each half has four sets of lobes (sections). The frontal lobes behind your forehead do a lot of the thinking and planning. The parietal (pa-RYE-ih-tul) lobes toward the back of your head sense pain. And the occipital (ock-SIP-ah-tul) lobes at the base of the brain allow you to see. The temporal lobes behind your ears store memories of music, taste, vision, and touch."
Escape from the Mountains,"Four kidnapped climbers face danger in a far-off country.

Four mountain climbers hung 1,000 feet above the ground. They were sleeping on tiny cots dangling from the side of a cliff.

That's when the shots rang out.

""They're shooting at us!"" yelled Beth Rodden. Rodden, at age 20, was one of the world's top woman climbers.

On the ground, three soldiers waved at the climbers, yelling, ""Come down, now!""

The four Americans had scaled many dangerous mountains. But nothing had prepared them for this trip.A Foreign Land
Rodden and her boyfriend, 22-year-old Tommy Caldwell, were climbing with Jason Smith, 22, and John Dickey, 25. They were in a country called Kyrgyzstan (KURG-i-stan). It is located in central Asia.Rebel soldiers there want to form their own country. Still, the area the climbers were in was thought to be safe.
The rebel soldiers took the climbers prisoner. The rebels hoped that they could trade the climbers for food or weapons.For days, the climbers and the rebels hiked through the mountains. Government helicopters flew overhead. The rebels hid the prisoners under sticks and dirt so that they couldn't be seen from the air.The climbers each ate half an energy bar per day. They drank muddy water. They tried to sleep in the freezing cold.The climbers hid as rebels traded gunfire with government soldiers. ""We were terrified,"" Rodden said. ""We knew we could die in a firefight, shot by either side.""But,"" she added, ""we kept talking about what we could do to escape.""On the sixth day, the batteries in the rebels' walkie-talkie died. The leader said he and others would return to the climbers' camp to get fresh ones. He left one man to keep the prisoners on the move.

The group crept along a cliff over a 1,500-foot drop. ""[The guard] was having a hard time getting around,"" Smith said. ""He stopped, and someone yelled, 'Now!' Then we pushed him off.""
The guard's arms and legs thrashed in panic as he fell toward a river below. ""I don't think anyone could survive a fall like that,"" Smith said. ""No. Nobody could.""The climbers ran for the government's army camp. They ran for 18 miles. As they neared the camp, rebels began shooting at them. Government soldiers shot back. ""We're Americans!"" Smith yelled. ""We're Americans!""Moments later, the climbers were safe in the camp. Soldiers lent them clean clothes. The climbers described their ordeal.Seven months have passed since the four Americans were captured. Today, all four are climbing again. But they also must deal with what they had to do to escape.""It's hard to think about that,"" said Rodden about the guard who was pushed to his death. ""But we were afraid we wouldn't survive. We'll have to live with it."""
White Out,"A strange fungus continues to attack the country’s bat population.

Recently, bats with fuzzy white noses have popped up in Indiana, Ohio, Maine, North Carolina, and Kentucky. It’s an ominous development. White-nose syndrome (WNS), a disease that kills hibernating bats, has officially spread into five more states.

The mysterious syndrome was first discovered in the state of New York in 2007. From there, it spread across the United States and Canada. Infected bats can now be found in 16 states and four Canadian provinces.Scientists have learned a great deal about the disease since its discovery. There’s much they don’t understand, though, including how to stop it. “There’s a lot of work still being done,” says Tom Kunz, a bat expert at Boston University.

Time is of the essence. More than a million and perhaps as many as 2 million bats have died already, Kunz says. “We’ve got a disease that is causing one of the most precipitous declines of bats in American history,” he says.

Skin and Bone

White-nose syndrome is named for the white fungus that typically appears on the muzzles and other body parts of infected bats. Initially, scientists weren’t sure whether the fungus caused the disease. Many suspected it was an opportunistic infection—a secondary infection that gains a foothold in an animal already weakened by another illness.

Researchers haven’t found any other infectious agents in the sickened bats. So most now agree that the fungus is the likely cause of WNS. The fungus is new to science, and researchers have named it Geomyces destructans.

“We still haven’t determined how the bats are actually dying from the fungal infection,” says Jeremy Coleman, the national WNS coordinator for the U.S. Fish and Wildlife Service. One clue: Infected bats seem to run out of fat in the middle of winter. Bats need that fat to nourish themselves until spring. Without it, they die.Normally, hibernating bats wake briefly once or twice a month, Kunz says. Infected bats arouse from hibernation every four or five days. They then expend valuable calories flying around. That activity probably explains why the bats are so skinny. “Every arousal burns up body fat,” he says.

What makes infected bats wake up so often? Some scientists have proposed an “itch-and-scratch hypothesis.” Just as people scratch their toes like crazy when they have athlete’s foot, a common fungal infection, bats might feel a similar itch when the fungus invades their skin. The uncomfortable sensation could be rousing them from their winter naps.

Then again, the bats might just be thirsty. One of skin’s many jobs is preventing water loss. In bats, healthy wing membranes help maintain a water balance in the body. The fungus damages bat wings, causing small holes and scar tissue to appear in the membranes. Bats could be losing excess water through their injured wings, some scientists propose. The animals might be waking up to find a drink and avoid dehydration (an excessive loss of fluid).

Fungus Among Us

The fungus G. destructans is itself puzzling. Hundreds of other species of Geomyces fungi live in U.S. caves but don’t bother bats at all, says Coleman. And though G. destructans has been found in caves in Europe, bats there appear unaffected by it. Do European bats possess a gene that makes them resistant to infection? Is European G. destructans somehow different from the strain found in the U.S.? “We’re trying to figure out why this fungus is so devastating for [North American] bats,” Coleman says.Meantime, the best hope for North America’s bats seems to be preventing any further spread of WNS. The disease is thought to spread from bat to bat, says Coleman, but researchers haven’t ruled out the possibility that people are spreading it too. The Fish and Wildlife Service has played it safe and closed a number of caves to human visitors. “We’re trying to prevent people from moving the fungus faster than the bats can,” Coleman says.

So far, WNS has been found in nine bat species, including two endangered ones: the Indiana bat and the gray bat. As more states and more species are affected, the impact of WNS could snowball. Bats play an important role in their ecosystems. A bat can eat half its weight in insects every night. A female bat that’s lactating (feeding her pups with milk) can gulp down twice that amount. Insect-eating bats in the U.S. save farmers at least $3 billion a year by swallowing bugs that would otherwise damage crops, according to an analysis in the journal Science. WNS is just beginning to move into the Midwest, the nation’s agricultural heartland. “As it continues to spread, we could see an agricultural impact,” Coleman says."
Peer Pressure Power,"Going along with the crowd doesn’t have to be a risky move.

Ever done something you didn’t want to do, just to fit in? Or just because your friends wanted you to? That’s peer pressure. And just about everyone feels it at one time or another.

Peers are people your age, such as your friends, who have experiences similar to yours. Your peers influence your decisions and behavior every day, and they can push you to make bad choices, even dangerous ones. But is peer pressure always bad?

Positive Spin on Peer Pressure

“Peer pressure can sometimes be a good thing,” says Ian Brennan, cocreator and one of the writers of the TV show Glee. That show dealt with the issue of peer pressure all the time, through the experiences of musical kids in a not-so-popular high school chorus. “Friends can give you the courage to try something you normally wouldn’t, like a new sport or auditioning for the school play,” Brennan points out.

Nicole S., 16, of Edmore, N.D., used to be afraid of singing in front of people. One time, her friends convinced her to sing karaoke with them. She ended up having fun! “Now I will sing anywhere, even with people present. Positive peer pressure helped me face my fear,” she says.

Pressure’s On!

You are surrounded by your peers all the time, and you learn a lot—both good and bad—by just being around them. You might admire a star athlete. Maybe you notice the popular kids at school and look up to them. Those aren’t necessarily bad things. The popular group could be really nice; the athlete, a hard worker. Being inspired and influenced by different peer groups could help you in the long run.

The people around you can also be negative influences, however. Maybe a star teammate tells you never to pass the ball to a certain player, or a popular student cheats on tests or sends mean texts. Should you try to be like them to fit in?

Peer Pressure Is a Fact of Life

“It’s not a matter of if peer pressure is going to happen,” says Lee Erickson, coordinator for the Northern Lights Students Against Destructive Decisions (SADD) group in North Dakota. “It’s a matter of when.”

“The main thing is not to compromise who you are,” Erickson continues. “The kind of coolness and popularity you think you may get by joining the crowd and doing risky stuff is temporary. Your character is with you for the rest of your life.”

Nicole agrees. “My motto is be who you are, not who others want you to be,” she says.

Peer pressure is powerful, but the ability to choose is yours. If a situation feels wrong, there’s a good chance it is wrong. Think about what’s best for you—and what you’ll say or do—before you’re in a sticky situation. “No one has tried to get me to smoke or drink yet, but I know there will come a time,” says Schuyler W., 13, of Seattle. “The thing is, I know I don’t want to do it, so when it does happen, I’m just going to stick up for myself and say no.”

Make pacts with your friends to stay away from risky situations together and to support one another when the going gets tough. Talk with your parents about ways they can “bail you out” if you need to save face with your peers. (For instance, if someone asks you to hang out after school and you think there might be drinking or drugs around, you can tell them your parents need you to come home right away.)

Should You or Shouldn’t You?

Standing up for yourself and saying no isn’t always easy. But you might give voice to a bunch of peers that feel the same way you do. It can take just one person to speak out and change a situation. According to Erickson, “People will respect you for standing up for yourself—even if it doesn’t seem like it right away.”

“If friends try to get you to do something that you know in your heart feels wrong,” says Glee’s Brennan, “tell them exactly how you feel. And if they’re not cool about it, find new friends.”

That can be hard to do, but sometimes it’s necessary. “If your so-called friends are trying to get you to do negative things, do you really think they’re the best of friends?” asks Nicole. “To me, real friends accept you for who you are [and] what you believe in, and respect your decisions.”

Bad News and Good News

“Negative peer pressure gets ahold of us kids really easily,” says Nicole. “Because our friends do it, we’re told something’s ‘cool’ or we’re pressured to try something ‘just one time’ because it won’t hurt.”

Some kids decide to go with the flow regardless of what they know is right. They tell themselves that being popular or being liked is more important than their own sense of self. It doesn’t make sense, but that’s the problem with peer pressure. You can lose yourself. But you can also find yourself, as Schuyler did when he was asked to go camping last year. He really didn’t want to go.

“Sometimes your friends get you to do stuff you don’t want to do, and it turns out great,” he says. “I didn’t want to go camping, but my friends really wanted me to go. Finally, I gave in, and I’m so glad I did. The trip was awesome! We did a lot of fun stuff I would never have done on my own.”

The good news is peer pressure isn’t always something to fear. Your decisions are yours to make. Take the time to make them wisely.

Power Up

Resisting negative peer pressure is a challenge, but it is definitely possible. Here are a few tips for navigating all kinds of pressure-filled situations:

Find real friends who accept the real you. Knowing whom to listen to and whom to avoid is the key to steering clear of negative peer pressure.
Know what to say. “Just say doing that stuff really isn’t your thing,” says Elli L., 15, of North Dakota. “You can also blame your parents—it works wonders.”
Be confident. Stick up for yourself. People will respect you for it.
Think about it. Keep in mind that just one destructive decision can change your whole life, says Nicole S., 16, also of North Dakota. Think: How might this one moment affect how you see yourself?
Getting Real With SADD

Looking to join other kids who want to make smart decisions and avoid negative peer pressure? Check out Students Against Destructive Decisions (SADD). It’s a national group, based in middle schools and high schools, that works to save lives by spreading the word about the dangers of risky behaviors such as drinking, using tobacco, bullying, and driving distractedly (including driving while using a cell phone).

SADD is a great resource for kids who are feeling pressured. “It is comforting to know that there are so many people supporting each other,” says Elli L., a SADD member in North Dakota. “We all kind of hold each other up.”“SADD does a lot of awareness projects,” adds fellow member Nicole S. Groups organize awareness days; dances; bowling, pizza and roller-skating events; and more. “We get the word out, but we have fun doing it,” says Nicole.

Young people take the lead in SADD groups. “The kids are in charge,” says regional director Lee Erickson. He works with more than 200 chapters of SADD in South Dakota, North Dakota, and Minnesota. “Our job as adults is to listen, provide support, [and] offer tools and motivation, not to tell them what to do. They can figure that stuff out on their own.”"
